UID,DTSTAMP,DTSTART,DTEND,DURATION,SUMMARY,DESCRIPTION,LOCATION,STATUS,CLASS,TRANSP,PRIORITY,SEQUENCE,RRULE,EXDATE,RDATE,ATTENDEE,ORGANIZER,CATEGORIES,CREATED,LAST-MODIFIED,URL,ATTACH,Validation_Flag
240,20250826T1348,20250804T000000Z,20250804T000000Z,P1D,Bank Holiday,New South Wales bank holiday,Australia (NSW),,,,,,,,,,,,,20250826T1348,,,
241,,20250804T000000Z,20250804T000000Z,P1D,Constitution Day (Cook Islands),National Day of Cook Islands,Cook Islands,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
242,20250826T1348,20250804T000000Z,20250804T000000Z,P1D,National Aboriginal and Torres Strait Islander Children's Day,National Aboriginal and Torres Strait Islander Children's Day (NAICD) is a celebration of Indigenous children. NAICD was first observed by the Secretariat of National Aboriginal and Islander Child Care (SNAICC) in 1988.,Australia,,,,,,,,,,,,,20250826T1348,,,
243,20250826T1348,20250804T000000Z,20250804T000000Z,P1D,Picnic Day,Northern Territory regional holiday,Australia (NT),,,,,,,,,,,,,20250826T1348,,,
244,20250826T1348,20250804T000000Z,20250810T000000Z,P6D,Homelessness Week,,Australia,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
245,20250826T1348,20250804T000000Z,20250810T000000Z,P6D,Loneliness Awareness Week,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
246,20250826T1348,20250806T000000Z,20250806T000000Z,P1D,Hiroshima Day,"Hiroshima Day commemorates those who lost their lives in the bombing of Hiroshima, Japan on 6 August 1945, and to pray for lasting world peace.",International,,,,,,,,,,,,,20250826T1348,,,
247,,20250806T000000Z,20250806T000000Z,P1D,Independence Day (Bolivia),National Day of Bolivia,Bolivia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
248,,20250806T000000Z,20250806T000000Z,P1D,National Day (Jamaica),National Day of Jamaica,Jamaica,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
249,,20250807T000000Z,20250807T000000Z,P1D,National Day (CÙte d'Ivoire),National Day of CÙte d'Ivoire,CÙte d'Ivoire,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
250,20250826T1348,20250809T000000Z,20250809T000000Z,P1D,International Day of the World's Indigenous Peoples,The United Nations' International Day of the World's Indigenous Peoples encourages people to protect and promote the rights of indigenous peoples.,International,,,,,,,,,,,,,20250826T1348,,,
251,20250826T1348,20250809T000000Z,20250809T000000Z,P1D,International Day of the World's††Indigenous People ,Observed annually to promote and protect the rights of the world's Indigenous population. This event also recognises the achievements and contributions that Indigenous people make to improve world issues such as environmental protection.†,International,,,,,,,,,,,,,20250826T1348,,,
252,20250826T1348,20250809T000000Z,20250809T000000Z,P1D,Nagasaki Day,Nagasaki Day commemorates the victims of the atomic bombing of the city of Nagasaki in 1945. It is held three days following the observance of Hiroshima Day.,International,,,,,,,,,,,,,20250826T1348,,,
253,,20250809T000000Z,20250809T000000Z,P1D,National Day (Singapore),National Day of Singapore,Singapore,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
254,20250826T1348,20250809T000000Z,20250809T000000Z,P1D,Raksha Bandhan,Raksha Bandhan means bond of protection. This Hindu festival honours the love between brothers and sisters. It is marked by the tying of a rakhi thread by the sister on her brother's wrist.,Hinduism,,,,,,,,,,,,,20250826T1348,,,
255,,20250811T000000Z,20250811T000000Z,P1D,National Day (Chad),National Day of Chad,Chad,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
256,20250826T1348,20250812T000000Z,20250812T000000Z,P1D,International Youth Day ,"International Youth Day gives an opportunity to celebrate and mainstream young peoples' voices, actions and initiatives, as well as their meaningful, universal and equitable engagement.†",International,,,,,,,,,,,,,20250826T1348,,,
257,20250826T1348,20250813T000000Z,20250813T000000Z,P1D,Ekka Holiday,Queensland (Brisbane City) regional holiday,Australia (QLD),,,,,,,,,,,,,20250826T1348,,,
258,20250826T1348,20250815T000000Z,20250815T000000Z,P1D,Feast of the Assumption of the Blessed Virgin Mary,This Christian feast day celebrates the belief that God assumed the Virgin Mary into heaven following her death. The Assumption signals the end of Mary's earthly life and marks her return to heaven to be reunited with Jesus.†,Christianity,,,,,,,,,,,,,20250826T1348,,,
259,,20250815T000000Z,20250815T000000Z,P1D,"Independence Day (Congo, Republic of)","National Day of Congo, Republic of","Congo, Republic of",,,,,,,,,,,,,,,,REQUIRES_VALIDATION
260,,20250815T000000Z,20250815T000000Z,P1D,Independence Day (India),National Day of India,India,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
261,,20250815T000000Z,20250815T000000Z,P1D,National Day (Liechtenstein),National Day of Liechtenstein,Liechtenstein,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
262,20250826T1348,20250816T000000Z,20250816T000000Z,P1D,Krishna Janmashtami (Hinduism),"Krishna Janmashtami is one of the most important Hindu festivals. This day celebrates the birthday of Lord Krishna, believed to be the eighth reincarnation of Lord Vishnu, who gave the vital message of the Bhagwat Gita ""ì the guiding principles for every Hindu.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
263,,20250817T000000Z,20250817T000000Z,P1D,National Day (Gabon),National Day of Gabon,Gabon,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
264,,20250817T000000Z,20250817T000000Z,P1D,Proclamation of Independence (Indonesia),National Day of Indonesia,Indonesia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
265,,20250819T000000Z,20250819T000000Z,P1D,Independence Day (Afghanistan),National Day of Afghanistan,Afghanistan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
266,20250826T1348,20250819T000000Z,20250819T000000Z,P1D,World Humanitarian Day,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
267,,20250820T000000Z,20250820T000000Z,P1D,Day of the Foundation of the State of Hungary and St Stephen's Day (Hungary),National Day of Hungary,Hungary,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
268,,20250824T000000Z,20250824T000000Z,P1D,Independence Day (Ukraine),National Day of Ukraine,Ukraine,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
269,20250826T1348,20250825T000000Z,20250825T000000Z,P1D,Australian South Sea Islanders National Recognition Day,"In 1994, the Commonwealth Government recognised Australian South Sea Islanders as a distinct cultural group. A formal Recognition Statement by the Queensland Government followed this in September 2000.",Australia (QLD),,,,,,,,,,,,,20250826T1348,,,
270,,20250825T000000Z,20250825T000000Z,P1D,Independence Day (Uruguay),National Day of Uruguay,Uruguay,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
271,20250826T1348,20250826T000000Z,20250827T000000Z,P2D,Ganesh Chaturthi,Ganesh Chaturthi is a Hindu celebration of the birth of Lord Ganesha.,Hinduism,,,,,,,,,,,,,20250826T1348,,,
272,,20250827T000000Z,20250827T000000Z,P1D,"National Day (Moldova, Republic Of)","National Day of Moldova, Republic Of","Moldova, Republic Of",,,,,,,,,,,,,,,,REQUIRES_VALIDATION
273,20250826T1348,20250829T000000Z,20250829T000000Z,P1D,Wear it Purple Day,"LGBTIQA+ awareness day ""ì wear it Purple strives to foster supportive, safe, empowering and inclusive environments for rainbow young people.†",International,,,,,,,,,,,,,20250826T1348,,,
274,,20250831T000000Z,20250831T000000Z,P1D,National Day (Kyrgyzstan),National Day of Kyrgyzstan,Kyrgyzstan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
275,,20250831T000000Z,20250831T000000Z,P1D,National Day (Malaysia),National Day of Malaysia,Malaysia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
276,,20250831T000000Z,20250831T000000Z,P1D,National Day (Trinidad and Tobago),National Day of Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
277,,20250901T000000Z,20250901T000000Z,P1D,Constitution Day (Slovak Republic),National Day of Slovak Republic,Slovak Republic,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
278,,20250901T000000Z,20250901T000000Z,P1D,National Day (Uzbekistan),National Day of Uzbekistan,Uzbekistan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
279,,20250902T000000Z,20250902T000000Z,P1D,National Day (Vietnam),National Day of Vietnam,Vietnam,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
280,,20250903T000000Z,20250903T000000Z,P1D,Feast of Saint Marinus (San Marino),Feast of Saint Marinus / Foundation Day,San Marino,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
281,20250826T1348,20250903T000000Z,20250903T000000Z,P1D,Indigenous Literacy Day,"Indigenous Literacy Day is a national celebration of culture, stories, language and literacy. This day raises awareness of the disadvantages experienced in remote communities and advocates for more access to literacy resources.",Australia,,,,,,,,,,,,,20250826T1348,,,
282,20250826T1348,20250904T000000Z,20250905T000000Z,P2D,Onam,"Onam is a Hindu harvest festival celebrated predominantly in Kerala, India.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
283,20250826T1348,20250905T000000Z,20250905T000000Z,P1D,Mawlid Al-Nabi (Birth of the Prophet Muhammad),"The Prophet Muhammad's birthday is commemorated in most Muslim-majority countries. It is usually marked by prayers, carnivals, fairs and public processions.",Islam,,,,,,,,,,,,,20250826T1348,,,
284,,20250906T000000Z,20250906T000000Z,P1D,National Day (Eswatini),National Day of Eswatini,Eswatini,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
285,,20250907T000000Z,20250907T000000Z,P1D,Independence Day (Brazil),National Day of Brazil,Brazil,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
286,,20250908T000000Z,20250908T000000Z,P1D,Independence Day (North Macedonia),National Day of North Macedonia,North Macedonia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
287,,20250908T000000Z,20250908T000000Z,P1D,National Day (Andorra),National Day of Andorra,Andorra,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
288,20250826T1348,20250909T000000Z,20250909T000000Z,P1D,African Union (AU) Day,AU Day offers an occasion to promote the African Union and its activities all over the African continent and in the world.,Africa,,,,,,,,,,,,,20250826T1348,,,
289,,20250909T000000Z,20250909T000000Z,P1D,"National Day (Korea, Democratic People's Republic Of)","National Day of Korea, Democratic People's Republic Of","Korea, Democratic People's Republic Of",,,,,,,,,,,,,,,,REQUIRES_VALIDATION
290,,20250909T000000Z,20250909T000000Z,P1D,National Day (Tajikistan),National Day of Tajikistan,Tajikistan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
291,20250826T1348,20250911T000000Z,20250911T000000Z,P1D,Enkutatash (Ethiopian New Year),Enkutatash is the New Year in Ethiopia and Eritrea.,Ethiopia,,,,,,,,,,,,,20250826T1348,,,
292,20250826T1348,20250911T000000Z,20250911T000000Z,P1D,Nayrouz (Coptic New Year),The Nayrouz feast commemorates martyrs and confessors within the Coptic Orthodox Church. The day marks the start of the Coptic new year and its first month.,Coptic,,,,,,,,,,,,,20250826T1348,,,
293,20250826T1348,20250911T000000Z,20250911T000000Z,P1D,R U OK? Day,R U OK? inspire and empower everyone to meaningfully connect with the people around them and start a conversation with anyone who may be struggling with life.†,Australia,,,,,,,,,,,,,20250826T1348,,,
294,20250826T1348,20250913T000000Z,20250913T000000Z,P1D,Anniversary of the Declaration on the Rights of Indigenous People,"The United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP) was adopted by the General Assembly on Thursday, 13 September 2007.",Australia,,,,,,,,,,,,,20250826T1348,,,
295,,20250915T000000Z,20250915T000000Z,P1D,Independence Day (Costa Rica),National Day of Costa Rica,Costa Rica,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
296,,20250915T000000Z,20250915T000000Z,P1D,Independence Day (El Salvador),National Day of El Salvador,El Salvador,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
297,,20250915T000000Z,20250915T000000Z,P1D,Independence Day (Guatemala),National Day of Guatemala,Guatemala,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
298,,20250915T000000Z,20250915T000000Z,P1D,Independence Day (Honduras),National Day of Honduras,Honduras,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
299,,20250915T000000Z,20250915T000000Z,P1D,Independence Day (Nicaragua),National Day of Nicaragua,Nicaragua,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
300,,20250916T000000Z,20250916T000000Z,P1D,Independence Day (Papua New Guinea),National Day of Papua New Guinea,Papua New Guinea,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
301,,20250916T000000Z,20250916T000000Z,P1D,Proclamation of Independence (Mexico),National Day of Mexico,Mexico,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
302,20250826T1348,20250917T000000Z,20250917T000000Z,P1D,Australian Citizenship Day,"Australian Citizenship Day was introduced in 2001. It is an opportunity for all Australians to celebrate and value Australian citizenship. In particular, this day recognises the peaceful, prosperous and inclusive society we share. The day invites Australians, whether at home or overseas, to reflect on our role in building our nation and shaping our country's future as proud Australian citizens.",Australia,,,,,,,,,,,,,20250826T1348,,,
303,,20250918T000000Z,20250918T000000Z,P1D,Fiestas Patrias (Chile),National Day of Chile,Chile,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
304,20250826T1348,20250918T000000Z,20250918T000000Z,P1D,International Equal Pay Day ,"Celebrated for the first time this 18 September, the Day represents the longstanding efforts towards the achievement of equal pay for work of equal value.†",International,,,,,,,,,,,,,20250826T1348,,,
305,,20250919T000000Z,20250919T000000Z,P1D,Independence Day (Saint Kitts and Nevis),National Day of Saint Kitts and Nevis,Saint Kitts and Nevis,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
306,,20250920T000000Z,20250920T000000Z,P1D,National Democracy Day (Nepal),National Day of Nepal,Nepal,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
307,,20250921T000000Z,20250921T000000Z,P1D,Independence Day (Malta),National Day of Malta,Malta,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
308,20250826T1348,20250921T000000Z,20250921T000000Z,P1D,International Day of Peace ,"The International Day of Peace was established in 1981 by the United Nations General Assembly. Two decades later, in 2001, the General Assembly unanimously voted to designate the Day as a period of non-violence and cease-fire.",International,,,,,,,,,,,,,20250826T1348,,,
309,,20250921T000000Z,20250921T000000Z,P1D,National Day (Armenia),National Day of Armenia,Armenia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
310,,20250921T000000Z,20250921T000000Z,P1D,National Day (Belize),National Day of Belize,Belize,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
311,,20250922T000000Z,20250922T000000Z,P1D,Proclamation of Independence (Mali),National Day of Mali,Mali,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
312,20250826T1348,20250922T000000Z,20250924T000000Z,P3D,Rosh Hashanah,"Rosh Hashanah is the Jewish New Year festival and commemorates the creation of the world. Customs include the blowing of the Shofar, a ram's horn trumpet, and the dipping of apples in honey as a symbol of the sweet New Year ahead. Work is not permitted on this day.",Judaism,,,,,,,,,,,,,20250826T1348,,,
313,20250826T1348,20250922T000000Z,20250928T000000Z,P6D,National Week of Deaf People (Australia),"The National Week of Deaf People is an opportunity for Deaf people to celebrate their community, language, culture and history; recognise their achievements; and make the public aware of their local, state and national Deaf communities.†",Australia,,,,,,,,,,,,,20250826T1348,,,
314,,20250923T000000Z,20250923T000000Z,P1D,National Day (Saudi Arabia),National Day of Saudi Arabia,Saudi Arabia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
315,,20250924T000000Z,20250924T000000Z,P1D,Independence Day (Guinea-Bissau),National Day of Guinea-Bissau,Guinea-Bissau,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
316,20250826T1348,20250926T000000Z,20250926T000000Z,P1D,AFL Grand Final Day,Victoria regional holiday,Australia (Victoria),,,,,,,,,,,,,20250826T1348,,,
317,,20250927T000000Z,20250927T000000Z,P1D,Independence Day (Turkmenistan),National Day of Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
318,20250826T1348,20250927T000000Z,20250929T000000Z,P3D,Durga Puja,"Durga Puja is an Hindu festival that reveres and pays homage to the Hindu goddess Durga. It is popular and traditionally celebrated in the Indian states of West Bengal, Assam, Odisha and Tripura. It is also observed in Bangladesh and in the Mithilanchal regions of Bihar and Nepal. It is marked with worship rituals, performance arts, gift giving, family visits, feasting and public processions.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
319,20250826T1348,20250929T000000Z,20251004T000000Z,P6D,Dashain,Dashain is the most important festival for Nepalis. It is a celebration of good prevailing over evil.,Nepal,,,,,,,,,,,,,20250826T1348,,,
320,,20250930T000000Z,20250930T000000Z,P1D,National Day (Botswana),National Day of Botswana,Botswana,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
321,,20251001T000000Z,20251001T000000Z,P1D,Constitution Day (Palau),National Day of Palau,Palau,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
322,,20251001T000000Z,20251001T000000Z,P1D,Independence Day (Cyprus),National Day of Cyprus,Cyprus,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
323,,20251001T000000Z,20251001T000000Z,P1D,Independence Day (Guinea),National Day of Guinea,Guinea,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
324,,20251001T000000Z,20251001T000000Z,P1D,Independence Day (Nigeria),National Day of Nigeria,Nigeria,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
325,,20251001T000000Z,20251001T000000Z,P1D,Independence Day (Tuvalu),National Day of Tuvalu,Tuvalu,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
326,20250826T1348,20251001T000000Z,20251001T000000Z,P1D,International Day of Older Persons ,"Aims to raise awareness of the impact of an aging population and the need to ensure people can grow old with dignity and to elevate consciousness about points which are affecting the aged, like COVID-19, senescence and elder abuse.†",International,,,,,,,,,,,,,20250826T1348,,,
327,,20251001T000000Z,20251001T000000Z,P1D,National Day (China),National Day of China,China,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
328,20250826T1348,20251001T000000Z,20251002T000000Z,P1D,Yom Kippur (Judaism),"Also known as Day of Atonement, Yom Kippur is the holiest day of the year for the Jewish people. Characterised by repentance and forgiveness, Jewish people traditionally observe this holy day with fasting and intensive prayer, often spending most of the day in synagogue services.",Judaism,,,,,,,,,,,,,20250826T1348,,,
329,20250826T1348,20251001T000000Z,20251031T000000Z,P30D,Mental Health Month,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
330,20250826T1348,20251002T000000Z,20251002T000000Z,P1D,International Day of Non-Violence ,"The Day is observed on 2 October, the birthday of Mahatma Gandhi, leader of the Indian independence movement and pioneer of the philosophy and strategy of non-violence.†",International,,,,,,,,,,,,,20250826T1348,,,
331,20250826T1348,20251002T000000Z,20251002T000000Z,P1D,Mahatma Gandhi Jayanti,"This day commemorates Mahatma Gandhi's birthday. It is marked with a prayer for peace, ceremonies and events throughout India. The United Nations has further declared this day the International Day of Non-Violence in honour of Gandhi's philosophy of non-violence (Ahimsa).",Hinduism,,,,,,,,,,,,,20250826T1348,,,
332,20250826T1348,20251002T000000Z,20251002T000000Z,P1D,Navaratri / Vijay Dashami,"Vijay Dashami or Dussehra marks the triumph of good over evil. The celebration of Dussehra concludes the festival of Navaratri, which extends over several days.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
333,,20251003T000000Z,20251003T000000Z,P1D,Day of German Unity (Germany),National Day of Germany,Germany,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
334,,20251003T000000Z,20251003T000000Z,P1D,National Day (Iraq),National Day of Iraq,Iraq,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
335,,20251003T000000Z,20251003T000000Z,P1D,"National Foundation Day (Korea, Republic Of)","National Day of Korea, Republic Of","Korea, Republic Of",,,,,,,,,,,,,,,,REQUIRES_VALIDATION
336,,20251004T000000Z,20251004T000000Z,P1D,Independence Day (Lesotho),National Day of Lesotho,Lesotho,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
337,20250826T1348,20251006T000000Z,20251006T000000Z,P1D,Mid-Autumn (Moon) Festival,"The Mid-Autumn Festival is a popular East and South East Asian celebration of abundance and togetherness. The festival dates back over 3000 years. The traditional food of this festival is the mooncake, which has different variations depending on the country.",International,,,,,,,,,,,,,20250826T1348,,,
338,20250826T1348,20251006T000000Z,20251006T000000Z,P1D,T·∫øt Trung Thu,"T·∫øt Trung Thu is a traditional Vietnamese festival. It involves watching the moon, a feast and children singing and dancing.",Vietnam,,,,,,,,,,,,,20250826T1348,,,
339,20250826T1348,20251006T000000Z,20251006T000000Z,P1D,Tsukimi,Tsukimi is a special holiday in Japanese culture. It employs the symbolism of the full moon to celebrate togetherness and hopes for good fortune.,Japan,,,,,,,,,,,,,20250826T1348,,,
340,20250826T1348,20251006T000000Z,20251006T000000Z,P1D,World Cerebral Palsy Day ,"World Cerebral Palsy Day is a movement of people with Cerebral Palsy and their families, and the organisations that support them, in more than 75 countries.†",International,,,,,,,,,,,,,20250826T1348,,,
341,20250826T1348,20251006T000000Z,20251008T000000Z,P3D,Chuseok,"Chuseok is a special holiday in Korean culture. It is rooted in celebrating good harvest, family and the importance of the full moon as a symbol of harmony and the hope for good fortune.",Korea,,,,,,,,,,,,,20250826T1348,,,
342,20250826T1348,20251006T000000Z,20251013T000000Z,P8D,Sukkot,Sukkot is a week-long Jewish holiday that celebrates the fall harvest. This celebration is a lead up to Simchat Torah.,Judaism,,,,,,,,,,,,,20250826T1348,,,
343,20250826T1348,20251007T000000Z,20251007T000000Z,P1D,Kathina,Marks the end of the retreat practiced by Theravada Buddhist monks during the South East Asian rainy season. Lay Buddhists express their gratitude to monks by giving donations to temples and providing monks with new clothes. Dates vary based on local tradition.,Buddhism,,,,,,,,,,,,,20250826T1348,,,
344,,20251009T000000Z,20251009T000000Z,P1D,Independence Day (Uganda),National Day of Uganda,Uganda,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
345,20250826T1348,20251009T000000Z,20251009T000000Z,P1D,World Sight Day ,World Sight Day is an annual day of awareness to focus global attention on blindness and vision impairment.†,International,,,,,,,,,,,,,20250826T1348,,,
346,,20251010T000000Z,20251010T000000Z,P1D,National Day (Fiji),National Day of Fiji,Fiji,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
347,20250826T1348,20251010T000000Z,20251010T000000Z,P1D,World Mental Health Day ,"A day for mental health education, awareness and advocacy against social stigma. Mental Health Week is celebrated in Australia around this date, with each state adopting their own theme and holding events.",International,,,,,,,,,,,,,20250826T1348,,,
348,,20251012T000000Z,20251012T000000Z,P1D,Independence Day (Equatorial Guinea),National Day of Equatorial Guinea,Equatorial Guinea,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
349,,20251012T000000Z,20251012T000000Z,P1D,National Day (Spain),National Day of Spain,Spain,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
350,20250826T1348,20251012T000000Z,20251012T000000Z,P1D,White Sunday,White Sunday is a day when childhood is celebrated in Samoan Christian communities worldwide.,Samoa,,,,,,,,,,,,,20250826T1348,,,
351,20250826T1348,20251012T000000Z,20251018T000000Z,P6D,Anti-Poverty Week,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
352,20250826T1348,20251012T000000Z,20251018T000000Z,P6D,National Carers Week,,Australia,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
353,20250826T1348,20251014T000000Z,20251015T000000Z,P2D,Simchat Torah,Simchat Torah is a celebratory Jewish holiday that marks the completion of the annual Torah reading cycle. Simchat Torah means -Rejoicing in the Law' in Hebrew. Special attention is given to children who join the celebrations with flags and singing.,Judaism,,,,,,,,,,,,,20250826T1348,,,
354,,20251019T000000Z,20251019T000000Z,P1D,Constitution Day (Niue),National Day of Niue,Niue,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
355,20250826T1348,20251020T000000Z,20251020T000000Z,P1D,Diwali / Deepavali (Festival of Light) ,"Diwali is the five-day festival of lights, celebrated by millions of Hindus, Sikhs and Jains across the world. Diwali is a festival of new beginnings and the triumph of good over evil, and light over darkness.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
356,20250826T1348,20251020T000000Z,20251020T000000Z,P1D,Gurgaddi (Inauguration) of Guru Granth Sahib,"This day commemorates the inauguration of the Sikh holy scripture. It is called the Guru Granth Sahib or Adi Sri Granth Sahib Ji, at the Golden Temple in Amritsar. Sikhs regard and respect the Holy Scripture as their living Guru.",Sikhism,,,,,,,,,,,,,20250826T1348,,,
357,20250826T1348,20251021T000000Z,20251021T000000Z,P1D,Bandi Chhor Divas (The Celebration of Freedom),"Sikhs celebrate Bandi Chhor Divas to mark the release from prison of the sixth guru Sri Guru Hargobind Ji, who also rescued 52 Hindu kings held captive with him. They were held by Mughal Emperor Jehangir in the Gwalior Fort in 1619. Celebrations include lighting oil lamps, candles and fireworks.",Sikhism,,,,,,,,,,,,,20250826T1348,,,
358,20250826T1348,20251022T000000Z,20251022T000000Z,P1D,Bestu Varas (Gujarati New Year),This date is celebrated with enthusiasm across the state of Gujarat. It marks the beginning of the new year for Gujarati people.,Gujarati,,,,,,,,,,,,,20250826T1348,,,
359,20250826T1348,20251022T000000Z,20251023T000000Z,P2D,Birth of the B·b and Birth of Bah·'u'll·h,Two successive holy days that celebrate the births of two central figures in the Baha'i faith. Each day's worth of celebration starts and ends with the setting of the sun.,Baha'i,,,,,,,,,,,,,20250826T1348,,,
360,20250826T1348,20251023T000000Z,20251023T000000Z,P1D,Bhai Tika,"Bhai Tika is also known as Bhai Dooj, Bhaubeej or Bhai Phonta. It marks the final day of Deepavali or Tihar and is a time to celebrate family relationships.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
361,,20251024T000000Z,20251024T000000Z,P1D,Independence Day (Zambia),National Day of Zambia,Zambia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
362,20250826T1348,20251024T000000Z,20251024T000000Z,P1D,United Nations Day,"This date celebrates the entry into force of the United Nations Charter in 1945. The Charter highlights the promotion of peace, human rights and social and economic development globally.",International,,,,,,,,,,,,,20250826T1348,,,
363,,20251025T000000Z,20251025T000000Z,P1D,Republic Day (Kazakhstan),National Day of Kazakhstan,Kazakhstan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
364,,20251026T000000Z,20251026T000000Z,P1D,National Day of Austria,National Day of Austria,Austria,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
365,,20251027T000000Z,20251027T000000Z,P1D,Independence Day (Saint Vincent and the Grenadines),National Day of Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
366,,20251028T000000Z,20251028T000000Z,P1D,Independence Day (Czech Republic),National Day of Czech Republic,Czech Republic,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
367,20250826T1348,20251028T000000Z,20251028T000000Z,P1D,Oxi Day,"Oxi Day commemorates the rejection by then Greek Prime Minister of the ultimatum made by Axis forces to occupy Greek territory in 1940. The day represents bravery, solidarity and heroism for millions of Greeks all around the world",Greece,,,,,,,,,,,,,20250826T1348,,,
368,,20251029T000000Z,20251029T000000Z,P1D,Republic Day (T¸rkiye),National Day of T¸rkiye,T¸rkiye,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
369,20250826T1348,20251031T000000Z,20251031T000000Z,P1D,Halloween,,Internantional,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
370,20250826T1348,20251101T000000Z,20251101T000000Z,P1D,All Saints' Day,"This Christian day honours saints, known and unknown. Saints are men and women recognised for lives of holiness and devotion to God or who were martyred for their faith.",Christianity,,,,,,,,,,,,,20250826T1348,,,
371,,20251101T000000Z,20251101T000000Z,P1D,Anniversary of the Revolution (Algeria),National Day of Algeria,Algeria,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
